activitat_,nom_abocam,Punt2
"PREMIUM MIX GROUP, SL","022000000190 - AB 1 MALAVELLA, SA",367
"TP FERRO CONCESIONARIA, S.A","TP FERRO CONCESIONARIA, S.A (llera)",520
"UNITEX, SA (UO-LF)",RIU LLOBREGAT (SA LA FOU),188
ETAP DE CASTELL-PLATJA D'ARO,ETAP AJUNTAMENT CASTELL-PLATJA D'ARO (SORTIDA DIRECTA),383
"ESTEBAN ESPUÑA, SA  -PLANTA MULTIPRODUCTE-","ESTEBAN ESPUÑA, S.A. (AIGÜES DE REFRIGERACIÓ)",538
"PLADELASALA LINARES, JOAQUIM  -GRANJA PLADELASALA-",JOAQUIM PLADELASALA LINARES - TORRENT DE RIGAT,464
EDAR POLIGON INDUSTRIAL LA POBLA - AJUNTAMENT DE SÚRIA,POLÍGON INDUSTRIAL LA POBLA NORD - AJUNTAMENT DE SÚRIA (SORTIDA DEPURADORA),218
ENS D'ABASTAMENT D'AIGUA TER LLOBREGAT (PLANTA ABRERA),AIGÜES TER LLOBREGAT (SORTIDA NETEJES FILTRES + MERMES + SANITÀRIES),173
CONSELL COMARCAL DE LA CONCA DE BARBERÀ - CENTRE TRACTAMENT DE RESIDUS,ABOCAMENT DE L'ABOCADOR COMARCAL DE LA CONCA DE BARBERÀ,47
"RESIDÈNCIA - CASA PAGÈS (LLOPART GÜELL, SERGI)",FINCA LES GRAUS,75
CONSORCI D'AIGÜES DE TARRAGONA (X. CAT),RIERA DE LA CANONJA  ( CONSORCI D'AIGÜES DE TARRAGONA),23
